id,year,Latitude,Longtitude,location,country,main_descriptor,secondary_descriptor,additional_descriptor,depth,exp_year,soc.value,soc.value_units,labmethod,crop,soil type,average slope,average elevation
14,2021,19.314,103.492,Viengkham,Laos,Land use,Annual,Rotation,40-60,3.5,24.62280702,Mg_ha,CN analyzer,NA,Acrisols,NA,600
77,2017,15.467,103.8,Thung Kula Sub-district,Thailand,Intervention,Fertilization,Without fertilization – Irrigated – 84.8 kg N/ha.year + 23.7 kg P/ha.year + 10.6 kg K/ha.year + 0 Mg manure/ha.year,0-40,NA,24.8175,Mg_ha,Walkley and Black,Rice,Ultisol,NA,150
14,2021,19.314,103.492,Viengkham,Laos,Land use,Annual,Rotation,5-15,3.5,24.89912281,Mg_ha,CN analyzer,NA,Acrisols,NA,600
29,2023,17.747,100.102,Mae Fak,Thailand,Land use,Annual,Rotation,0-30,49,24.9,Mg_ha,Walkley and Black,"Rice, Shallots",Typic Tropaquepts,NA,NA
8,2022,-4.554,105.404,Lampung,Indonesia,Intervention,Fertilization,With fertilization – 90 t/ha empty fruit bunches,0-10,27,25,Mg_ha,Walkley and Black,Oil palm,Ultisol (Typic Kandiudults),NA,NA
150,2010,-6.598,106.805,Bogor,Indonesia,Intervention,Organic management,Organic,0-10,5,25,Mg_ha,Walkley and Black,Rice,NA,NA,NA
61,2015,12.208,105.319,Chamkar Leu District,Cambodia,Land use,Annual,Rotation,20-40,5,25.1,Mg_ha,CN analyzer,"Soybean, Millet, Brachiaria ruziziensis, Stylosanthes guianensis, Sorghum, Maize",Oxisol,NA,118
75,2013,15.081,100.897,Lop Buri Province,Thailand,Land use,Perennial,Rotation,0-30,32,25.5,Mg_ha,Walkley and Black,"Maize, Meng bean, Mimosa, Crotalaria, Ricebean, Velvet bean, Soybean, Sunflower",Ultisols,NA,NA
43,2021,-1.739,103.314,Province of Jambi,Indonesia,Land use,Perennial,Monocrop,10-30,13,25.6,Mg_ha,CN analyzer,Oil palm,"Gleysol, Acrisol",NA,NA
172,2022,11.008,106,"Chang Riec Historical - Cultural Forest, Tay Ninh Province",Vietnam,Land use,Perennial,Monocrop,20-30,7,25.75,Mg_ha,Walkley and Black,Acacia,NA,6.95,48
100,1996,-7,107.5,Sukajadi village,Indonesia,Land use,Agroforestry,Agroforestry,0-5,1,25.91186441,Mg_ha,Walkley and Black,"Agroforestry, Bamboo, Kebun",NA,26.8,NA
3,2022,19.833,100.333,"Ban Rakpaendin, Chiang Rai Province",Thailand,Land use,Annual,Monocrop,0-5,2,26,Mg_ha,CN analyzer,Rice,Typic Haplustults,NA,697
8,2022,-4.554,105.404,Lampung,Indonesia,Intervention,Fertilization,With fertilization – 60 t/ha empty fruit bunches,10-25,27,26,Mg_ha,Walkley and Black,Oil palm,Ultisol (Typic Kandiudults),NA,NA
68,2013,3.774,113.744,Rumah Ulat,Malaysia,Land use,Perennial,Monocrop,0-20,15,26.19,Mg_ha,Isotope ratio mass spectrometry (IRMS),Oil palm,Ultisols,8.5,100
171,2022,-3.765,103.91,"Sodong, Sumatra",Indonesia,Land use,Perennial,Monocrop,0-10,1,26.3,Mg_ha,Walkley and Black,Eucalyptus,Ultisol,NA,110
43,2021,-1.739,103.314,Province of Jambi,Indonesia,Land use,Perennial,Monocrop,10-30,12,26.3,Mg_ha,CN analyzer,Rubber,"Gleysol, Acrisol",NA,NA
13,2022,18.465,98.308,Ban Thap,Thailand,Land use,Agroforestry,Agroforestry,30-100,6,26.4,Mg_ha,Walkley and Black,Agroforestry,NA,12,737
171,2022,-3.765,103.91,"Sodong, Sumatra",Indonesia,Land use,Perennial,Monocrop,0-10,3,26.4,Mg_ha,Walkley and Black,Eucalyptus,Ultisol,NA,110
75,2013,15.081,100.897,Lop Buri Province,Thailand,Land use,Perennial,Rotation,0-30,32,26.5,Mg_ha,Walkley and Black,"Maize, Meng bean, Mimosa, Crotalaria, Ricebean, Velvet bean, Soybean, Sunflower",Ultisols,NA,NA
68,2013,3.774,113.744,Rumah Ulat,Malaysia,Land use,Perennial,Monocrop,0-20,15,26.548,Mg_ha,Isotope ratio mass spectrometry (IRMS),Oil palm,Ultisols,8.5,100
172,2022,11.008,106,"Chang Riec Historical - Cultural Forest, Tay Ninh Province",Vietnam,Land use,Perennial,Monocrop,10-20,7,26.565,Mg_ha,Walkley and Black,Acacia,NA,6.95,48
172,2022,11.008,106,"Chang Riec Historical - Cultural Forest, Tay Ninh Province",Vietnam,Land use,Perennial,Monocrop,0-10,7,26.611,Mg_ha,Walkley and Black,Acacia,NA,6.95,48
96,2008,14.083,121,"Camarines Sur, Laguna and Nueva Ecija",Philippines,Intervention,Fertilization,Without fertilization,0-20,30,26.7,Mg_ha,CN analyzer,Rice,"Vertisol, Mollisol",NA,NA
4,2021,-3.806,102.317,Bengkulu City,Indonesia,Land use,Agroforestry,Agroforestry,10-20,NA,26.83937824,Mg_ha,Walkley and Black,Agroforestry,NA,NA,NA
75,2013,15.081,100.897,Lop Buri Province,Thailand,Land use,Perennial,Rotation,0-30,32,26.9,Mg_ha,Walkley and Black,"Maize, Meng bean, Mimosa, Crotalaria, Ricebean, Velvet bean, Soybean, Sunflower",Ultisols,NA,NA
171,2022,-3.765,103.91,"Sodong, Sumatra",Indonesia,Land use,Perennial,Monocrop,0-10,6,27.1,Mg_ha,Walkley and Black,Eucalyptus,Ultisol,NA,110
63,2017,10.35,106.067,Cai Lay,Vietnam,Land use,Annual,Monocrop,0-10,30,27.29274611,Mg_ha,Walkley and Black,"Rice, Cucumber, Tomato, Maize, Chili pepper, Okra, Onion, Mung bean, Sesame",Gleyic Fluvisol,< 1,NA
74,2011,-6.5,106.4,Maribaya,Indonesia,Land use,Perennial,Monocrop,5-10,0,27.3,Mg_ha,CN analyzer,Acacia,Haplic Ferralsols,NA,NA
13,2022,18.465,98.308,Ban Thap,Thailand,Land use,Annual,Monocrop,0-30,4,27.4,Mg_ha,Walkley and Black,Rice,NA,12,737
13,2022,18.465,98.308,Ban Thap,Thailand,Land use,Agroforestry,Agroforestry,30-100,6,27.4,Mg_ha,Walkley and Black,Agroforestry,NA,12,737
96,2008,14.083,121,"Los Baños, Laguna",Philippines,Intervention,Fertilization,With fertilization – 75 kg P/ha + 120 kg K/ha,20-40,30,27.4,Mg_ha,CN analyzer,Rice,Mollisol,NA,NA
72,2016,10.381,106.117,Cai Lay,Vietnam,Land use,Annual,Rotation,0-10,8,27.4,Mg_ha,Walkley and Black,"Rice, Mung bean",Fluvisols,NA,2
172,2022,11.008,106,"Chang Riec Historical - Cultural Forest, Tay Ninh Province",Vietnam,Land use,Perennial,Monocrop,20-30,11,27.456,Mg_ha,Walkley and Black,Acacia,NA,6.95,48
116,2021,-8.477,116.328,Karang Sidemen Village,Indonesia,Land use,Perennial,Rotation,20-30,NA,27.54,Mg_ha,Walkley and Black,"Avocado, Candlenut, Cocoa, Coffee, Jackfruit, Mangosteen, Guava",NA,NA,612.5
74,2011,-6.5,106.4,Ngasuh,Indonesia,Land use,Perennial,Monocrop,5-10,4,27.6,Mg_ha,CN analyzer,Shorea leprosula,Haplic Ferralsols,NA,NA
31,2019,16.038,103.312,Don Wan sub district,Thailand,Land use,Annual,Monocrop,15-30,10,27.623,Mg_ha,Walkley and Black,Rice,Ubon series (isohyperthermic Aquic Grossarenic Haplustalfs),NA,179
72,2016,10.381,106.117,Cai Lay,Vietnam,Land use,Annual,Rotation,0-10,8,27.7,Mg_ha,Walkley and Black,"Rice, Maize",Fluvisols,NA,2
100,1996,-7,107.5,Sukajadi village,Indonesia,Land use,Agroforestry,Agroforestry,0-5,1,27.85084746,Mg_ha,Walkley and Black,"Agroforestry, Bamboo, Kebun",NA,26.8,NA
171,2022,-3.765,103.91,"Sodong, Sumatra",Indonesia,Land use,Perennial,Monocrop,0-10,3,27.9,Mg_ha,Walkley and Black,Eucalyptus,Ultisol,NA,110
8,2022,-4.554,105.404,Lampung,Indonesia,Intervention,Fertilization,With fertilization – 30 t/ha.3 years empty fruit bunches,25-55,27,28,Mg_ha,Walkley and Black,Oil palm,Ultisol (Typic Kandiudults),NA,NA
